timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1696955478,1,0,0,0,0,none,0,0
1696955497,0,1,0,0,0,none,0,0
1696955513,0,1,0,0,0,none,0,0
1696955550,0,1,0,0,0,none,0,0
1696955571,0,1,0,0,0,none,0,0
1696955581,0,0,0,1,0,question,1696955626,1696955681
1696955590,0,1,0,0,0,none,0,0
1696955604,0,0,1,0,0,none,0,0
1696955611,0,1,0,0,0,none,0,0
1696955636,0,0,0,0,1,question,1696955626,1696955681
1696955674,0,1,0,0,0,none,0,0
1696955683,0,0,0,2,0,question,1696955725,1696955816
1696955702,0,1,0,0,0,none,0,0
1696955730,0,0,0,0,2,question,1696955725,1696955816
1696955736,0,1,0,0,0,none,0,0
1696955760,0,1,0,0,0,none,0,0
1696955780,0,1,0,0,0,none,0,0
1696955782,0,0,1,0,0,none,0,0
1696955785,0,0,0,3,0,question,1696955832,1696955959
1696955796,0,1,0,0,0,none,0,0
1696955829,0,1,0,0,0,none,0,0
1696955845,0,1,0,0,0,none,0,0
1696955868,0,1,0,0,0,none,0,0
1696955887,0,0,0,4,0,question,1696955940,1696956064
1696955933,0,1,0,0,0,none,0,0
1696955936,0,0,1,0,0,none,0,0
1696955949,0,1,0,0,0,none,0,0
1696955960,0,-1,0,0,0,none,0,0
1696955963,0,-1,0,0,0,none,0,0
1696955966,0,-1,0,0,0,none,0,0
1696955967,0,0,0,0,4,question,1696955940,1696956064
1696955972,0,-1,0,0,0,none,0,0
1696955975,0,-1,0,0,0,none,0,0
1696955977,0,0,0,0,3,question,1696955832,1696955959
1696955989,0,0,0,5,0,question,1696956048,1696956137
1696956014,0,1,0,0,0,none,0,0
1696956030,0,1,0,0,0,none,0,0
1696956060,0,-1,0,0,0,none,0,0
1696956060,0,-1,0,0,0,none,0,0
1696956079,-1,0,0,0,0,none,0,0
