timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1698165185,1,0,0,0,0,none,0,0
1698165235,0,1,0,0,0,none,0,0
1698165251,0,1,0,0,0,none,0,0
1698165267,0,1,0,0,0,none,0,0
1698165277,0,-1,0,0,0,none,0,0
1698165287,0,0,0,1,0,switches,0,1698165358
1698165331,0,1,0,0,0,none,0,0
1698165357,0,0,0,0,1,switches,0,1698165358
1698165364,0,1,0,0,0,none,0,0
1698165380,0,1,0,0,0,none,0,0
1698165389,0,0,0,2,0,question,1698165427,1698165484
1698165396,0,1,0,0,0,none,0,0
1698165415,0,-1,0,0,0,none,0,0
1698165463,0,0,0,0,2,question,1698165427,1698165484
1698165465,0,1,0,0,0,none,0,0
1698165491,0,0,0,3,0,question,1698165522,1698165637
1698165530,0,0,0,0,3,question,1698165522,1698165637
1698165558,0,1,0,0,0,none,0,0
1698165576,0,1,0,0,0,none,0,0
1698165580,0,0,1,0,0,none,0,0
1698165593,0,0,0,4,0,question,1698165630,1698165699
1698165597,0,1,0,0,0,none,0,0
1698165630,0,1,0,0,0,none,0,0
1698165644,0,0,0,0,4,question,1698165630,1698165699
1698165695,0,0,0,5,0,question,1698165748,1698165850
1698165709,0,1,0,0,0,none,0,0
1698165744,0,1,0,0,0,none,0,0
1698165766,0,1,0,0,0,none,0,0
1698165782,0,1,0,0,0,none,0,0
1698165786,-1,0,0,0,0,none,0,0
