timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1696950396,1,0,0,0,0,none,0,0
1696950425,0,1,0,0,0,none,0,0
1696950445,0,1,0,0,0,none,0,0
1696950447,0,0,0,1,0,switches,0,1696950616
1696950478,0,1,0,0,0,none,0,0
1696950498,0,1,0,0,0,none,0,0
1696950498,0,0,0,2,0,switches,0,1696950676
1696950514,0,1,0,0,0,none,0,0
1696950534,0,1,0,0,0,none,0,0
1696950549,0,0,0,3,0,switches,0,1696950699
1696950556,0,1,0,0,0,none,0,0
1696950583,0,1,0,0,0,none,0,0
1696950600,0,0,0,4,0,switches,0,1696950715
1696950617,0,-1,0,0,0,none,0,0
1696950620,0,1,0,0,0,none,0,0
1696950623,0,-1,0,0,0,none,0,0
1696950629,0,-1,0,0,0,none,0,0
1696950635,0,-1,0,0,0,none,0,0
1696950641,0,-1,0,0,0,none,0,0
1696950645,0,0,0,0,1,switches,0,1696950616
1696950648,0,1,0,0,0,none,0,0
1696950651,0,0,0,5,0,switches,0,1696950802
1696950664,0,1,0,0,0,none,0,0
1696950675,0,0,0,0,2,switches,0,1696950676
1696950682,0,1,0,0,0,none,0,0
1696950700,0,-1,0,0,0,none,0,0
1696950702,0,0,0,6,0,switches,0,1696950800
1696950706,0,-1,0,0,0,none,0,0
1696950712,0,-1,0,0,0,none,0,0
1696950714,0,-1,0,0,0,none,0,0
1696950715,0,0,0,0,3,switches,0,1696950699
1696950716,0,0,0,0,4,switches,0,1696950715
1696950727,0,-1,0,0,0,none,0,0
1696950753,0,0,0,7,0,switches,0,1696950895
1696950758,0,1,0,0,0,none,0,0
1696950799,0,1,0,0,0,none,0,0
1696950801,0,-1,0,0,0,none,0,0
1696950804,0,0,0,8,0,switches,0,1696950919
1696950807,0,-1,0,0,0,none,0,0
1696950813,0,-1,0,0,0,none,0,0
1696950819,0,-1,0,0,0,none,0,0
1696950855,0,0,0,9,0,switches,0,1696950946
1696950880,0,0,0,0,5,switches,0,1696950802
1696950880,0,0,0,0,6,switches,0,1696950800
1696950903,0,0,0,0,7,switches,0,1696950895
1696950906,0,0,0,10,0,switches,0,1696951026
1696950934,0,0,0,0,8,switches,0,1696950919
1696950950,0,0,0,0,9,switches,0,1696950946
1696950957,0,0,0,11,0,switches,0,1696951137
1696950989,0,1,0,0,0,none,0,0
1696950997,-1,0,0,0,0,none,0,0
