timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1696952012,1,0,0,0,0,none,0,0
1696952064,0,1,0,0,0,none,0,0
1696952080,0,1,0,0,0,none,0,0
1696952096,0,1,0,0,0,none,0,0
1696952112,0,1,0,0,0,none,0,0
1696952128,0,1,0,0,0,none,0,0
1696952144,0,1,0,0,0,none,0,0
1696952180,0,1,0,0,0,none,0,0
1696952182,0,0,1,0,0,none,0,0
1696952204,0,1,0,0,0,none,0,0
1696952227,0,1,0,0,0,none,0,0
1696952243,0,1,0,0,0,none,0,0
1696952259,0,1,0,0,0,none,0,0
1696952275,0,1,0,0,0,none,0,0
1696952291,0,1,0,0,0,none,0,0
1696952293,0,0,1,0,0,none,0,0
1696952307,0,1,0,0,0,none,0,0
1696952323,0,1,0,0,0,none,0,0
1696952339,0,1,0,0,0,none,0,0
1696952355,0,1,0,0,0,none,0,0
1696952371,0,1,0,0,0,none,0,0
1696952372,0,0,1,0,0,none,0,0
1696952387,0,1,0,0,0,none,0,0
1696952393,0,0,1,0,0,none,0,0
1696952407,0,1,0,0,0,none,0,0
1696952447,0,1,0,0,0,none,0,0
1696952463,0,1,0,0,0,none,0,0
1696952489,0,1,0,0,0,none,0,0
1696952511,0,1,0,0,0,none,0,0
1696952536,0,1,0,0,0,none,0,0
1696952552,0,1,0,0,0,none,0,0
1696952553,0,0,1,0,0,none,0,0
1696952568,0,1,0,0,0,none,0,0
1696952589,0,1,0,0,0,none,0,0
1696952609,0,1,0,0,0,none,0,0
1696952613,-1,0,0,0,0,none,0,0
