timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1698166036,1,0,0,0,0,none,0,0
1698166063,0,1,0,0,0,none,0,0
1698166079,0,1,0,0,0,none,0,0
1698166095,0,1,0,0,0,none,0,0
1698166112,0,1,0,0,0,none,0,0
1698166138,0,0,0,1,0,question,1698166194,1698166237
1698166141,0,1,0,0,0,none,0,0
1698166157,0,1,0,0,0,none,0,0
1698166174,0,1,0,0,0,none,0,0
1698166192,0,-1,0,0,0,none,0,0
1698166194,0,0,0,0,1,question,1698166194,1698166237
1698166210,0,1,0,0,0,none,0,0
1698166213,0,0,1,0,0,none,0,0
1698166226,0,1,0,0,0,none,0,0
1698166240,0,0,0,2,0,question,1698166280,1698166395
1698166242,0,1,0,0,0,none,0,0
1698166258,0,1,0,0,0,none,0,0
1698166274,0,1,0,0,0,none,0,0
1698166289,0,0,0,0,2,question,1698166280,1698166395
1698166290,0,1,0,0,0,none,0,0
1698166296,0,0,1,0,0,none,0,0
1698166312,0,1,0,0,0,none,0,0
1698166334,0,1,0,0,0,none,0,0
1698166342,0,0,0,3,0,question,1698166381,1698166441
1698166350,0,1,0,0,0,none,0,0
1698166394,0,0,0,0,3,question,1698166381,1698166441
1698166406,0,1,0,0,0,none,0,0
1698166440,0,1,0,0,0,none,0,0
1698166444,0,0,0,4,0,switches,0,1698166563
1698166456,0,1,0,0,0,none,0,0
1698166463,0,0,1,0,0,none,0,0
1698166488,0,1,0,0,0,none,0,0
1698166505,0,1,0,0,0,none,0,0
1698166543,0,1,0,0,0,none,0,0
1698166549,0,0,0,5,0,switches,0,1698166646
1698166561,0,1,0,0,0,none,0,0
1698166562,0,0,0,0,4,switches,0,1698166563
1698166563,0,0,1,0,0,none,0,0
1698166603,0,1,0,0,0,none,0,0
1698166619,0,1,0,0,0,none,0,0
1698166637,-1,0,0,0,0,none,0,0
