timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1697715358,1,0,0,0,0,none,0,0
1697715396,0,1,0,0,0,none,0,0
1697715412,0,1,0,0,0,none,0,0
1697715428,0,1,0,0,0,none,0,0
1697715444,0,1,0,0,0,none,0,0
1697715460,0,1,0,0,0,none,0,0
1697715463,0,0,0,1,0,question,1697715500,1697715563
1697715479,0,-1,0,0,0,none,0,0
1697715498,0,1,0,0,0,none,0,0
1697715517,0,1,0,0,0,none,0,0
1697715545,0,1,0,0,0,none,0,0
1697715561,0,1,0,0,0,none,0,0
1697715564,0,-1,0,0,0,none,0,0
1697715565,0,0,0,2,0,switches,0,1697715721
1697715570,0,-1,0,0,0,none,0,0
1697715576,0,-1,0,0,0,none,0,0
1697715582,0,-1,0,0,0,none,0,0
1697715588,0,-1,0,0,0,none,0,0
1697715594,0,-1,0,0,0,none,0,0
1697715600,0,-1,0,0,0,none,0,0
1697715606,0,-1,0,0,0,none,0,0
1697715631,0,1,0,0,0,none,0,0
1697715636,0,-1,0,0,0,none,0,0
1697715653,0,1,0,0,0,none,0,0
1697715654,0,-1,0,0,0,none,0,0
1697715667,0,0,0,3,0,question,1697715700,1697715833
1697715669,0,1,0,0,0,none,0,0
1697715671,0,-1,0,0,0,none,0,0
1697715703,0,0,0,0,1,question,1697715500,1697715563
1697715718,0,0,0,0,3,question,1697715700,1697715833
1697715720,0,0,0,0,2,switches,0,1697715721
1697715751,0,1,0,0,0,none,0,0
1697715767,0,1,0,0,0,none,0,0
1697715769,0,0,0,4,0,question,1697715811,1697715928
1697715782,0,-1,0,0,0,none,0,0
1697715786,0,1,0,0,0,none,0,0
1697715792,0,-1,0,0,0,none,0,0
1697715804,0,-1,0,0,0,none,0,0
1697715831,0,1,0,0,0,none,0,0
1697715847,0,1,0,0,0,none,0,0
1697715863,0,1,0,0,0,none,0,0
1697715871,0,0,0,5,0,question,1697715931,1697715984
1697715887,0,-1,0,0,0,none,0,0
1697715898,0,-1,0,0,0,none,0,0
1697715902,0,1,0,0,0,none,0,0
1697715915,0,-1,0,0,0,none,0,0
1697715929,0,-1,0,0,0,none,0,0
1697715959,-1,0,0,0,0,none,0,0
