timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1697716882,1,0,0,0,0,none,0,0
1697716925,0,1,0,0,0,none,0,0
1697716941,0,1,0,0,0,none,0,0
1697716957,0,1,0,0,0,none,0,0
1697716973,0,1,0,0,0,none,0,0
1697716989,0,1,0,0,0,none,0,0
1697717005,0,1,0,0,0,none,0,0
1697717037,0,1,0,0,0,none,0,0
1697717053,0,1,0,0,0,none,0,0
1697717069,0,1,0,0,0,none,0,0
1697717073,0,0,1,0,0,none,0,0
1697717090,0,1,0,0,0,none,0,0
1697717136,0,-1,0,0,0,none,0,0
1697717139,0,1,0,0,0,none,0,0
1697717147,0,-1,0,0,0,none,0,0
1697717156,0,1,0,0,0,none,0,0
1697717175,0,1,0,0,0,none,0,0
1697717191,0,1,0,0,0,none,0,0
1697717233,0,-1,0,0,0,none,0,0
1697717239,0,1,0,0,0,none,0,0
1697717244,0,-1,0,0,0,none,0,0
1697717255,0,1,0,0,0,none,0,0
1697717255,0,-1,0,0,0,none,0,0
1697717258,0,0,1,0,0,none,0,0
1697717266,0,-1,0,0,0,none,0,0
1697717271,0,1,0,0,0,none,0,0
1697717277,0,-1,0,0,0,none,0,0
1697717296,0,1,0,0,0,none,0,0
1697717312,0,1,0,0,0,none,0,0
1697717328,0,1,0,0,0,none,0,0
1697717344,0,1,0,0,0,none,0,0
1697717360,0,1,0,0,0,none,0,0
1697717376,0,1,0,0,0,none,0,0
1697717392,0,1,0,0,0,none,0,0
1697717394,0,0,1,0,0,none,0,0
1697717415,0,1,0,0,0,none,0,0
1697717431,0,1,0,0,0,none,0,0
1697717447,0,1,0,0,0,none,0,0
1697717474,0,-1,0,0,0,none,0,0
1697717483,-1,0,0,0,0,none,0,0
