timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1698168407,1,0,0,0,0,none,0,0
1698168424,0,1,0,0,0,none,0,0
1698168440,0,1,0,0,0,none,0,0
1698168444,0,0,0,1,0,switches,0,1698168607
1698168456,0,1,0,0,0,none,0,0
1698168472,0,1,0,0,0,none,0,0
1698168480,0,0,0,2,0,switches,0,1698168667
1698168488,0,1,0,0,0,none,0,0
1698168504,0,1,0,0,0,none,0,0
1698168516,0,0,0,3,0,question,1698168573,1698168689
1698168525,0,1,0,0,0,none,0,0
1698168541,0,1,0,0,0,none,0,0
1698168552,0,0,0,4,0,question,1698168598,1698168646
1698168557,0,1,0,0,0,none,0,0
1698168574,0,-1,0,0,0,none,0,0
1698168579,0,0,0,0,3,question,1698168573,1698168689
1698168585,0,-1,0,0,0,none,0,0
1698168588,0,0,0,5,0,question,1698168640,1698168704
1698168608,0,-1,0,0,0,none,0,0
1698168611,0,1,0,0,0,none,0,0
1698168614,0,-1,0,0,0,none,0,0
1698168620,0,-1,0,0,0,none,0,0
1698168623,0,0,0,0,1,switches,0,1698168607
1698168624,0,0,0,6,0,switches,0,1698168801
1698168628,0,-1,0,0,0,none,0,0
1698168631,0,0,0,0,4,question,1698168598,1698168646
1698168636,0,-1,0,0,0,none,0,0
1698168655,0,0,0,0,5,question,1698168640,1698168704
1698168660,0,0,0,7,0,question,1698168711,1698168759
1698168664,0,1,0,0,0,none,0,0
1698168668,0,-1,0,0,0,none,0,0
1698168674,0,-1,0,0,0,none,0,0
1698168680,0,-1,0,0,0,none,0,0
1698168686,0,-1,0,0,0,none,0,0
1698168688,0,0,0,0,2,switches,0,1698168667
1698168689,0,1,0,0,0,none,0,0
1698168696,0,0,0,8,0,switches,0,1698168875
1698168708,-1,0,0,0,0,none,0,0
1698168708,0,1,0,0,0,none,0,0
