timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
1698168083,1,0,0,0,0,none,0,0
1698168099,0,1,0,0,0,none,0,0
1698168115,0,1,0,0,0,none,0,0
1698168131,0,1,0,0,0,none,0,0
1698168147,0,1,0,0,0,none,0,0
1698168163,0,1,0,0,0,none,0,0
1698168179,0,1,0,0,0,none,0,0
1698168195,0,1,0,0,0,none,0,0
1698168211,0,1,0,0,0,none,0,0
1698168214,0,0,1,0,0,none,0,0
1698168227,0,1,0,0,0,none,0,0
1698168243,0,1,0,0,0,none,0,0
1698168259,0,1,0,0,0,none,0,0
1698168264,-1,0,0,0,0,none,0,0
