timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-10 16:31:18,1,0,0,0,0,none,0,0
2023-10-10 16:31:37,0,1,0,0,0,none,0,0
2023-10-10 16:31:53,0,1,0,0,0,none,0,0
2023-10-10 16:32:30,0,1,0,0,0,none,0,0
2023-10-10 16:32:51,0,1,0,0,0,none,0,0
2023-10-10 16:33:01,0,0,0,1,0,question,2023-10-10 16:33:46,2023-10-10 16:34:41
2023-10-10 16:33:10,0,1,0,0,0,none,0,0
2023-10-10 16:33:24,0,0,1,0,0,none,0,0
2023-10-10 16:33:31,0,1,0,0,0,none,0,0
2023-10-10 16:33:56,0,0,0,0,1,question,2023-10-10 16:33:46,2023-10-10 16:34:41
2023-10-10 16:34:34,0,1,0,0,0,none,0,0
2023-10-10 16:34:43,0,0,0,2,0,question,2023-10-10 16:35:25,2023-10-10 16:36:56
2023-10-10 16:35:02,0,1,0,0,0,none,0,0
2023-10-10 16:35:30,0,0,0,0,2,question,2023-10-10 16:35:25,2023-10-10 16:36:56
2023-10-10 16:35:36,0,1,0,0,0,none,0,0
2023-10-10 16:36:00,0,1,0,0,0,none,0,0
2023-10-10 16:36:20,0,1,0,0,0,none,0,0
2023-10-10 16:36:22,0,0,1,0,0,none,0,0
2023-10-10 16:36:25,0,0,0,3,0,question,2023-10-10 16:37:12,2023-10-10 16:39:19
2023-10-10 16:36:36,0,1,0,0,0,none,0,0
2023-10-10 16:37:09,0,1,0,0,0,none,0,0
2023-10-10 16:37:25,0,1,0,0,0,none,0,0
2023-10-10 16:37:48,0,1,0,0,0,none,0,0
2023-10-10 16:38:07,0,0,0,4,0,question,2023-10-10 16:39:00,2023-10-10 16:41:04
2023-10-10 16:38:53,0,1,0,0,0,none,0,0
2023-10-10 16:38:56,0,0,1,0,0,none,0,0
2023-10-10 16:39:09,0,1,0,0,0,none,0,0
2023-10-10 16:39:20,0,-1,0,0,0,none,0,0
2023-10-10 16:39:23,0,-1,0,0,0,none,0,0
2023-10-10 16:39:26,0,-1,0,0,0,none,0,0
2023-10-10 16:39:27,0,0,0,0,4,question,2023-10-10 16:39:00,2023-10-10 16:41:04
2023-10-10 16:39:32,0,-1,0,0,0,none,0,0
2023-10-10 16:39:35,0,-1,0,0,0,none,0,0
2023-10-10 16:39:37,0,0,0,0,3,question,2023-10-10 16:37:12,2023-10-10 16:39:19
2023-10-10 16:39:49,0,0,0,5,0,question,2023-10-10 16:40:48,2023-10-10 16:42:17
2023-10-10 16:40:14,0,1,0,0,0,none,0,0
2023-10-10 16:40:30,0,1,0,0,0,none,0,0
2023-10-10 16:41:00,0,-1,0,0,0,none,0,0
2023-10-10 16:41:00,0,-1,0,0,0,none,0,0
2023-10-10 16:41:19,-1,0,0,0,0,none,0,0
