timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-24 16:33:05,1,0,0,0,0,none,0,0
2023-10-24 16:33:55,0,1,0,0,0,none,0,0
2023-10-24 16:34:11,0,1,0,0,0,none,0,0
2023-10-24 16:34:27,0,1,0,0,0,none,0,0
2023-10-24 16:34:37,0,-1,0,0,0,none,0,0
2023-10-24 16:34:47,0,0,0,1,0,switches,2023-10-24 16:34:47,2023-10-24 16:35:58
2023-10-24 16:35:31,0,1,0,0,0,none,0,0
2023-10-24 16:35:57,0,0,0,0,1,switches,2023-10-24 16:34:47,2023-10-24 16:35:58
2023-10-24 16:36:04,0,1,0,0,0,none,0,0
2023-10-24 16:36:20,0,1,0,0,0,none,0,0
2023-10-24 16:36:29,0,0,0,2,0,question,2023-10-24 16:37:07,2023-10-24 16:38:04
2023-10-24 16:36:36,0,1,0,0,0,none,0,0
2023-10-24 16:36:55,0,-1,0,0,0,none,0,0
2023-10-24 16:37:43,0,0,0,0,2,question,2023-10-24 16:37:07,2023-10-24 16:38:04
2023-10-24 16:37:45,0,1,0,0,0,none,0,0
2023-10-24 16:38:11,0,0,0,3,0,question,2023-10-24 16:38:42,2023-10-24 16:40:37
2023-10-24 16:38:50,0,0,0,0,3,question,2023-10-24 16:38:42,2023-10-24 16:40:37
2023-10-24 16:39:18,0,1,0,0,0,none,0,0
2023-10-24 16:39:36,0,1,0,0,0,none,0,0
2023-10-24 16:39:40,0,0,1,0,0,none,0,0
2023-10-24 16:39:53,0,0,0,4,0,question,2023-10-24 16:40:30,2023-10-24 16:41:39
2023-10-24 16:39:57,0,1,0,0,0,none,0,0
2023-10-24 16:40:30,0,1,0,0,0,none,0,0
2023-10-24 16:40:44,0,0,0,0,4,question,2023-10-24 16:40:30,2023-10-24 16:41:39
2023-10-24 16:41:35,0,0,0,5,0,question,2023-10-24 16:42:28,2023-10-24 16:44:10
2023-10-24 16:41:49,0,1,0,0,0,none,0,0
2023-10-24 16:42:24,0,1,0,0,0,none,0,0
2023-10-24 16:42:46,0,1,0,0,0,none,0,0
2023-10-24 16:43:02,0,1,0,0,0,none,0,0
2023-10-24 16:43:06,-1,0,0,0,0,none,0,0
