timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-10 15:06:36,1,0,0,0,0,none,0,0
2023-10-10 15:07:05,0,1,0,0,0,none,0,0
2023-10-10 15:07:25,0,1,0,0,0,none,0,0
2023-10-10 15:07:27,0,0,0,1,0,switches,2023-10-10 15:07:27,2023-10-10 15:10:16
2023-10-10 15:07:58,0,1,0,0,0,none,0,0
2023-10-10 15:08:18,0,1,0,0,0,none,0,0
2023-10-10 15:08:18,0,0,0,2,0,switches,2023-10-10 15:08:18,2023-10-10 15:11:16
2023-10-10 15:08:34,0,1,0,0,0,none,0,0
2023-10-10 15:08:54,0,1,0,0,0,none,0,0
2023-10-10 15:09:09,0,0,0,3,0,switches,2023-10-10 15:09:09,2023-10-10 15:11:39
2023-10-10 15:09:16,0,1,0,0,0,none,0,0
2023-10-10 15:09:43,0,1,0,0,0,none,0,0
2023-10-10 15:10:00,0,0,0,4,0,switches,2023-10-10 15:10:00,2023-10-10 15:11:55
2023-10-10 15:10:17,0,-1,0,0,0,none,0,0
2023-10-10 15:10:20,0,1,0,0,0,none,0,0
2023-10-10 15:10:23,0,-1,0,0,0,none,0,0
2023-10-10 15:10:29,0,-1,0,0,0,none,0,0
2023-10-10 15:10:35,0,-1,0,0,0,none,0,0
2023-10-10 15:10:41,0,-1,0,0,0,none,0,0
2023-10-10 15:10:45,0,0,0,0,1,switches,2023-10-10 15:07:27,2023-10-10 15:10:16
2023-10-10 15:10:48,0,1,0,0,0,none,0,0
2023-10-10 15:10:51,0,0,0,5,0,switches,2023-10-10 15:10:51,2023-10-10 15:13:22
2023-10-10 15:11:04,0,1,0,0,0,none,0,0
2023-10-10 15:11:15,0,0,0,0,2,switches,2023-10-10 15:08:18,2023-10-10 15:11:16
2023-10-10 15:11:22,0,1,0,0,0,none,0,0
2023-10-10 15:11:40,0,-1,0,0,0,none,0,0
2023-10-10 15:11:42,0,0,0,6,0,switches,2023-10-10 15:11:42,2023-10-10 15:13:20
2023-10-10 15:11:46,0,-1,0,0,0,none,0,0
2023-10-10 15:11:52,0,-1,0,0,0,none,0,0
2023-10-10 15:11:54,0,-1,0,0,0,none,0,0
2023-10-10 15:11:55,0,0,0,0,3,switches,2023-10-10 15:09:09,2023-10-10 15:11:39
2023-10-10 15:11:56,0,0,0,0,4,switches,2023-10-10 15:10:00,2023-10-10 15:11:55
2023-10-10 15:12:07,0,-1,0,0,0,none,0,0
2023-10-10 15:12:33,0,0,0,7,0,switches,2023-10-10 15:12:33,2023-10-10 15:14:55
2023-10-10 15:12:38,0,1,0,0,0,none,0,0
2023-10-10 15:13:19,0,1,0,0,0,none,0,0
2023-10-10 15:13:21,0,-1,0,0,0,none,0,0
2023-10-10 15:13:24,0,0,0,8,0,switches,2023-10-10 15:13:24,2023-10-10 15:15:19
2023-10-10 15:13:27,0,-1,0,0,0,none,0,0
2023-10-10 15:13:33,0,-1,0,0,0,none,0,0
2023-10-10 15:13:39,0,-1,0,0,0,none,0,0
2023-10-10 15:14:15,0,0,0,9,0,switches,2023-10-10 15:14:15,2023-10-10 15:15:46
2023-10-10 15:14:40,0,0,0,0,5,switches,2023-10-10 15:10:51,2023-10-10 15:13:22
2023-10-10 15:14:40,0,0,0,0,6,switches,2023-10-10 15:11:42,2023-10-10 15:13:20
2023-10-10 15:15:03,0,0,0,0,7,switches,2023-10-10 15:12:33,2023-10-10 15:14:55
2023-10-10 15:15:06,0,0,0,10,0,switches,2023-10-10 15:15:06,2023-10-10 15:17:06
2023-10-10 15:15:34,0,0,0,0,8,switches,2023-10-10 15:13:24,2023-10-10 15:15:19
2023-10-10 15:15:50,0,0,0,0,9,switches,2023-10-10 15:14:15,2023-10-10 15:15:46
2023-10-10 15:15:57,0,0,0,11,0,switches,2023-10-10 15:15:57,2023-10-10 15:18:57
2023-10-10 15:16:29,0,1,0,0,0,none,0,0
2023-10-10 15:16:37,-1,0,0,0,0,none,0,0
