timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-24 16:47:16,1,0,0,0,0,none,0,0
2023-10-24 16:47:43,0,1,0,0,0,none,0,0
2023-10-24 16:47:59,0,1,0,0,0,none,0,0
2023-10-24 16:48:15,0,1,0,0,0,none,0,0
2023-10-24 16:48:32,0,1,0,0,0,none,0,0
2023-10-24 16:48:58,0,0,0,1,0,question,2023-10-24 16:49:54,2023-10-24 16:50:37
2023-10-24 16:49:01,0,1,0,0,0,none,0,0
2023-10-24 16:49:17,0,1,0,0,0,none,0,0
2023-10-24 16:49:34,0,1,0,0,0,none,0,0
2023-10-24 16:49:52,0,-1,0,0,0,none,0,0
2023-10-24 16:49:54,0,0,0,0,1,question,2023-10-24 16:49:54,2023-10-24 16:50:37
2023-10-24 16:50:10,0,1,0,0,0,none,0,0
2023-10-24 16:50:13,0,0,1,0,0,none,0,0
2023-10-24 16:50:26,0,1,0,0,0,none,0,0
2023-10-24 16:50:40,0,0,0,2,0,question,2023-10-24 16:51:20,2023-10-24 16:53:15
2023-10-24 16:50:42,0,1,0,0,0,none,0,0
2023-10-24 16:50:58,0,1,0,0,0,none,0,0
2023-10-24 16:51:14,0,1,0,0,0,none,0,0
2023-10-24 16:51:29,0,0,0,0,2,question,2023-10-24 16:51:20,2023-10-24 16:53:15
2023-10-24 16:51:30,0,1,0,0,0,none,0,0
2023-10-24 16:51:36,0,0,1,0,0,none,0,0
2023-10-24 16:51:52,0,1,0,0,0,none,0,0
2023-10-24 16:52:14,0,1,0,0,0,none,0,0
2023-10-24 16:52:22,0,0,0,3,0,question,2023-10-24 16:53:01,2023-10-24 16:54:01
2023-10-24 16:52:30,0,1,0,0,0,none,0,0
2023-10-24 16:53:14,0,0,0,0,3,question,2023-10-24 16:53:01,2023-10-24 16:54:01
2023-10-24 16:53:26,0,1,0,0,0,none,0,0
2023-10-24 16:54:00,0,1,0,0,0,none,0,0
2023-10-24 16:54:04,0,0,0,4,0,switches,2023-10-24 16:54:04,2023-10-24 16:56:03
2023-10-24 16:54:16,0,1,0,0,0,none,0,0
2023-10-24 16:54:23,0,0,1,0,0,none,0,0
2023-10-24 16:54:48,0,1,0,0,0,none,0,0
2023-10-24 16:55:05,0,1,0,0,0,none,0,0
2023-10-24 16:55:43,0,1,0,0,0,none,0,0
2023-10-24 16:55:49,0,0,0,5,0,switches,2023-10-24 16:55:49,2023-10-24 16:57:26
2023-10-24 16:56:01,0,1,0,0,0,none,0,0
2023-10-24 16:56:02,0,0,0,0,4,switches,2023-10-24 16:54:04,2023-10-24 16:56:03
2023-10-24 16:56:03,0,0,1,0,0,none,0,0
2023-10-24 16:56:43,0,1,0,0,0,none,0,0
2023-10-24 16:56:59,0,1,0,0,0,none,0,0
2023-10-24 16:57:17,-1,0,0,0,0,none,0,0
