timestamp,game,piece,objective,interruption_in,interruption_out,interruption_type,interruption_begin_time,interruption_due_time
2023-10-19 11:35:58,1,0,0,0,0,none,0,0
2023-10-19 11:36:36,0,1,0,0,0,none,0,0
2023-10-19 11:36:52,0,1,0,0,0,none,0,0
2023-10-19 11:37:08,0,1,0,0,0,none,0,0
2023-10-19 11:37:24,0,1,0,0,0,none,0,0
2023-10-19 11:37:40,0,1,0,0,0,none,0,0
2023-10-19 11:37:43,0,0,0,1,0,question,2023-10-19 11:38:20,2023-10-19 11:39:23
2023-10-19 11:37:59,0,-1,0,0,0,none,0,0
2023-10-19 11:38:18,0,1,0,0,0,none,0,0
2023-10-19 11:38:37,0,1,0,0,0,none,0,0
2023-10-19 11:39:05,0,1,0,0,0,none,0,0
2023-10-19 11:39:21,0,1,0,0,0,none,0,0
2023-10-19 11:39:24,0,-1,0,0,0,none,0,0
2023-10-19 11:39:25,0,0,0,2,0,switches,2023-10-19 11:39:25,2023-10-19 11:42:01
2023-10-19 11:39:30,0,-1,0,0,0,none,0,0
2023-10-19 11:39:36,0,-1,0,0,0,none,0,0
2023-10-19 11:39:42,0,-1,0,0,0,none,0,0
2023-10-19 11:39:48,0,-1,0,0,0,none,0,0
2023-10-19 11:39:54,0,-1,0,0,0,none,0,0
2023-10-19 11:40:00,0,-1,0,0,0,none,0,0
2023-10-19 11:40:06,0,-1,0,0,0,none,0,0
2023-10-19 11:40:31,0,1,0,0,0,none,0,0
2023-10-19 11:40:36,0,-1,0,0,0,none,0,0
2023-10-19 11:40:53,0,1,0,0,0,none,0,0
2023-10-19 11:40:54,0,-1,0,0,0,none,0,0
2023-10-19 11:41:07,0,0,0,3,0,question,2023-10-19 11:41:40,2023-10-19 11:43:53
2023-10-19 11:41:09,0,1,0,0,0,none,0,0
2023-10-19 11:41:11,0,-1,0,0,0,none,0,0
2023-10-19 11:41:43,0,0,0,0,1,question,2023-10-19 11:38:20,2023-10-19 11:39:23
2023-10-19 11:41:58,0,0,0,0,3,question,2023-10-19 11:41:40,2023-10-19 11:43:53
2023-10-19 11:42:00,0,0,0,0,2,switches,2023-10-19 11:39:25,2023-10-19 11:42:01
2023-10-19 11:42:31,0,1,0,0,0,none,0,0
2023-10-19 11:42:47,0,1,0,0,0,none,0,0
2023-10-19 11:42:49,0,0,0,4,0,question,2023-10-19 11:43:31,2023-10-19 11:45:28
2023-10-19 11:43:02,0,-1,0,0,0,none,0,0
2023-10-19 11:43:06,0,1,0,0,0,none,0,0
2023-10-19 11:43:12,0,-1,0,0,0,none,0,0
2023-10-19 11:43:24,0,-1,0,0,0,none,0,0
2023-10-19 11:43:51,0,1,0,0,0,none,0,0
2023-10-19 11:44:07,0,1,0,0,0,none,0,0
2023-10-19 11:44:23,0,1,0,0,0,none,0,0
2023-10-19 11:44:31,0,0,0,5,0,question,2023-10-19 11:45:31,2023-10-19 11:46:24
2023-10-19 11:44:47,0,-1,0,0,0,none,0,0
2023-10-19 11:44:58,0,-1,0,0,0,none,0,0
2023-10-19 11:45:02,0,1,0,0,0,none,0,0
2023-10-19 11:45:15,0,-1,0,0,0,none,0,0
2023-10-19 11:45:29,0,-1,0,0,0,none,0,0
2023-10-19 11:45:59,-1,0,0,0,0,none,0,0
